id,label
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,0
420,1
